Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
12,-0.75242,0.345485,2.057323,-1.46864,-1.15839,-0.07785,-0.60858,0.003603,-0.43617,0.747731,-0.79398,-0.77041,1.047627,-1.0666,1.106953,1.660114,-0.27927,-0.41999,0.432535,0.263451,0.499625,1.35365,-0.25657,-0.06508,-0.03912,-0.08709,-0.181,0.129394,15.99,0
12,1.103215,-0.0403,1.267332,1.289091,-0.736,0.288069,-0.58606,0.18938,0.782333,-0.26798,-0.45031,0.936708,0.70838,-0.46865,0.354574,-0.24663,-0.00921,-0.59591,-0.57568,-0.11391,-0.02461,0.196002,0.013802,0.103758,0.364298,-0.38226,0.092809,0.037051,12.99,0
13,-0.43691,0.918966,0.924591,-0.72722,0.915679,-0.12787,0.707642,0.087962,-0.66527,-0.73798,0.324098,0.277192,0.252624,-0.2919,-0.18452,1.143174,-0.92871,0.68047,0.025436,-0.04702,-0.1948,-0.67264,-0.15686,-0.88839,-0.34241,-0.04903,0.079692,0.131024,0.89,0
14,-5.40126,-5.45015,1.186305,1.736239,3.049106,-1.76341,-1.55974,0.160842,1.23309,0.345173,0.91723,0.970117,-0.26657,-0.47913,-0.52661,0.472004,-0.72548,0.075081,-0.40687,-2.19685,-0.5036,0.98446,2.458589,0.042119,-0.48163,-0.62127,0.392053,0.949594,46.8,0
15,1.492936,-1.02935,0.454795,-1.43803,-1.55543,-0.72096,-1.08066,-0.05313,-1.97868,1.638076,1.077542,-0.63205,-0.41696,0.052011,-0.04298,-0.16643,0.304241,0.554432,0.05423,-0.38791,-0.17765,-0.17507,0.040002,0.295814,0.332931,-0.22038,0.022298,0.007602,5,0
16,0.694885,-1.36182,1.029221,0.834159,-1.19121,1.309109,-0.87859,0.44529,-0.4462,0.568521,1.019151,1.298329,0.42048,-0.37265,-0.80798,-2.04456,0.515663,0.625847,-1.30041,-0.13833,-0.29558,-0.57196,-0.05088,-0.30421,0.072001,-0.42223,0.086553,0.063499,231.71,0
17,0.962496,0.328461,-0.17148,2.109204,1.129566,1.696038,0.107712,0.521502,-1.19131,0.724396,1.69033,0.406774,-0.93642,0.983739,0.710911,-0.60223,0.402484,-1.73716,-2.02761,-0.26932,0.143997,0.402492,-0.04851,-1.37187,0.390814,0.199964,0.016371,-0.01461,34.09,0
18,1.166616,0.50212,-0.0673,2.261569,0.428804,0.089474,0.241147,0.138082,-0.98916,0.922175,0.744786,-0.53138,-2.10535,1.12687,0.003075,0.424425,-0.45448,-0.09887,-0.8166,-0.30717,0.018702,-0.06197,-0.10385,-0.37042,0.6032,0.108556,-0.04052,-0.01142,2.28,0
18,0.247491,0.277666,1.185471,-0.0926,-1.31439,-0.15012,-0.94636,-1.61794,1.544071,-0.82988,-0.5832,0.524933,-0.45338,0.081393,1.555204,-1.39689,0.783131,0.436621,2.177807,-0.23098,1.65018,0.200454,-0.18535,0.423073,0.820591,-0.22763,0.336634,0.250475,22.75,0
22,-1.94653,-0.0449,-0.40557,-1.01306,2.941968,2.955053,-0.06306,0.855546,0.049967,0.573743,-0.08126,-0.21575,0.044161,0.033898,1.190718,0.578843,-0.97567,0.044063,0.488603,-0.21672,-0.57953,-0.79923,0.8703,0.983421,0.321201,0.14965,0.707519,0.0146,0.89,0
22,-2.07429,-0.12148,1.322021,0.410008,0.295198,-0.95954,0.543985,-0.10463,0.475664,0.149451,-0.85657,-0.18052,-0.65523,-0.2798,-0.21167,-0.33332,0.010751,-0.48847,0.505751,-0.38669,-0.40364,-0.2274,0.742435,0.398535,0.249212,0.274404,0.359969,0.243232,26.43,0
23,1.173285,0.353498,0.283905,1.133563,-0.17258,-0.91605,0.369025,-0.32726,-0.24665,-0.04614,-0.14342,0.97935,1.492285,0.101418,0.761478,-0.01458,-0.51164,-0.32506,-0.39093,0.027878,0.067003,0.227812,-0.15049,0.435045,0.724825,-0.33708,0.016368,0.030041,41.88,0
23,1.322707,-0.17404,0.434555,0.576038,-0.83676,-0.83108,-0.2649,-0.22098,-1.07142,0.868559,-0.64151,-0.11132,0.361485,0.171945,0.782167,-1.35587,-0.21694,1.271765,-1.24062,-0.52295,-0.28438,-0.32336,-0.03771,0.347151,0.559639,-0.28016,0.042335,0.028822,16,0
23,-0.41429,0.905437,1.727453,1.473471,0.007443,-0.20033,0.740228,-0.02925,-0.59339,-0.34619,-0.01214,0.786796,0.635954,-0.08632,0.076804,-1.40592,0.775592,-0.94289,0.543969,0.097308,0.077237,0.457331,-0.0385,0.642522,-0.18389,-0.27746,0.182687,0.152665,33,0
23,1.059387,-0.17532,1.26613,1.18611,-0.786,0.578435,-0.76708,0.401046,0.6995,-0.06474,1.048292,1.005618,-0.542,-0.03991,-0.21868,0.004476,-0.19355,0.042388,-0.27783,-0.17802,0.013676,0.213734,0.014462,0.002951,0.294638,-0.39507,0.081461,0.02422,12.99,0
24,1.237429,0.061043,0.380526,0.761564,-0.35977,-0.49408,0.006494,-0.13386,0.43881,-0.20736,-0.92918,0.527106,0.348676,-0.15254,-0.21839,-0.19155,-0.11658,-0.63379,0.348416,-0.06635,-0.24568,-0.5309,-0.04427,0.079168,0.509136,0.288858,-0.0227,0.011836,17.28,0
25,1.114009,0.085546,0.493702,1.33576,-0.30019,-0.01075,-0.11876,0.188617,0.205687,0.082262,1.133556,0.626699,-1.49278,0.520788,-0.67459,-0.52911,0.158256,-0.39875,-0.14571,-0.27383,-0.05323,-0.00476,-0.03147,0.198054,0.565007,-0.33772,0.029057,0.004453,4.45,0
26,-0.52991,0.873892,1.347247,0.145457,0.414209,0.100223,0.711206,0.176066,-0.28672,-0.48469,0.87249,0.851636,-0.57175,0.100974,-1.51977,-0.28438,-0.31052,-0.40425,-0.82337,-0.29035,0.046949,0.208105,-0.18555,0.001031,0.098816,-0.5529,-0.07329,0.023307,6.14,0
26,-0.52991,0.873892,1.347247,0.145457,0.414209,0.100223,0.711206,0.176066,-0.28672,-0.48469,0.87249,0.851636,-0.57175,0.100974,-1.51977,-0.28438,-0.31052,-0.40425,-0.82337,-0.29035,0.046949,0.208105,-0.18555,0.001031,0.098816,-0.5529,-0.07329,0.023307,6.14,0
26,-0.53539,0.865268,1.351076,0.147575,0.43368,0.086983,0.693039,0.179742,-0.28564,-0.48247,0.8718,0.853447,-0.57182,0.102252,-1.51999,-0.28591,-0.30963,-0.4039,-0.82374,-0.28326,0.049526,0.206537,-0.18711,0.000753,0.098117,-0.55347,-0.07831,0.025427,1.77,0
26,-0.53539,0.865268,1.351076,0.147575,0.43368,0.086983,0.693039,0.179742,-0.28564,-0.48247,0.8718,0.853447,-0.57182,0.102252,-1.51999,-0.28591,-0.30963,-0.4039,-0.82374,-0.28326,0.049526,0.206537,-0.18711,0.000753,0.098117,-0.55347,-0.07831,0.025427,1.77,0
27,-0.24605,0.473267,1.695738,0.262411,-0.01087,-0.61084,0.793937,-0.24725,0.138879,-0.40101,-0.81205,-0.18352,-0.63011,-0.28622,-0.33705,-0.42811,-0.0306,-0.50457,0.35518,0.045721,-0.1946,-0.33513,-0.07818,0.392784,-0.03116,0.198037,-0.17535,-0.20362,30.49,0
27,-1.45219,1.765124,0.611669,1.176825,-0.44598,0.246826,-0.25757,1.092472,-0.60752,0.047156,0.783727,1.096386,-0.26809,0.768648,-0.52437,-0.80882,0.710386,-0.11837,0.979288,0.008713,0.08228,0.325782,-0.06911,0.020962,-0.04467,-0.24344,0.14918,0.120557,1.8,0
29,0.99637,-0.12259,0.546819,0.70658,0.13456,1.156995,-0.29456,0.407429,0.337863,-0.40815,0.682646,1.25372,0.391917,-0.03751,0.795302,-1.66821,1.322995,-2.83004,-1.46343,-0.20346,-0.0763,0.108867,0.162231,-0.57562,0.109795,0.373813,0.050552,0.005106,20.53,0
29,1.11088,0.168717,0.517144,1.325407,-0.19157,0.019504,-0.03185,0.11762,0.017665,0.044865,1.345075,1.28634,-0.25227,0.274458,-0.81039,-0.58701,0.087451,-0.55047,-0.15475,-0.19012,-0.03771,0.095701,-0.0482,0.232115,0.606201,-0.3421,0.03677,0.00748,6.54,0
32,1.249055,-0.62473,-0.71059,-0.9916,1.429973,3.692977,-1.09021,0.967291,0.850149,-0.30708,-0.45625,0.229981,-0.01691,-0.22085,0.362418,0.315222,-0.51227,0.118995,0.57472,0.097853,-0.00629,0.0092,-0.12946,1.11297,0.500382,1.196549,-0.04822,0.005094,29.89,0
32,-2.00887,2.198527,0.144242,1.159432,-0.81517,0.182288,-0.61711,1.530817,-0.58683,0.129876,0.658479,1.265049,-0.20652,1.013603,-0.54941,-0.70803,0.869643,-0.09566,0.944395,0.02874,0.094917,0.294983,0.011081,0.015249,0.034211,-0.23614,0.128291,0.117986,2.35,0
33,-0.60788,1.031345,1.74045,1.232106,0.418592,0.119168,0.850893,-0.17627,-0.2435,0.148455,-0.387,0.398299,0.481917,-0.36544,0.235545,-1.34781,0.504648,-0.7984,0.75971,0.254325,-0.08733,0.258315,-0.26478,0.118282,0.173508,-0.21704,0.094312,-0.03304,14.8,0
33,-0.93573,0.170416,2.746261,-1.07796,-0.30559,0.011577,-0.29618,0.402776,-0.04047,-0.85205,1.552109,0.953561,0.41543,-0.2339,0.452336,0.844368,-0.82274,0.338822,-1.21423,-0.00542,0.401212,1.064864,-0.15833,0.295505,-0.25937,0.754195,0.046664,0.093948,9.1,0
34,-0.76226,0.127768,2.650056,-1.87566,-0.89336,-0.26871,-0.41986,0.146233,-0.86964,-0.03865,-0.68612,-0.50291,1.380826,-1.03912,0.652842,1.898748,-0.45841,-0.5598,-0.2951,0.359393,0.43335,1.260403,-0.4047,0.094946,0.480976,-0.09068,0.319223,0.1356,15.99,0
34,1.138316,0.056956,0.649419,0.873062,-0.46847,-0.41019,-0.0139,-0.07244,0.306788,-0.26995,-0.0026,1.124304,0.744207,-0.18835,-0.07566,-0.70919,0.381219,-1.37208,-0.2737,-0.07835,-0.16422,-0.2474,0.059405,0.456286,0.361004,0.274414,-0.0025,0.017109,21.34,0
34,-0.29154,0.445575,1.249752,-1.73574,0.085756,-0.12192,0.407716,0.095309,0.815902,-1.49119,-0.84619,0.056533,-0.05895,0.151923,1.982595,-0.4433,-0.31825,0.064787,0.613505,-0.03352,-0.06491,-0.12045,-0.15653,-0.80021,-0.00062,-0.8352,0.131001,0.062896,18.95,0
34,0.201686,0.497483,1.373913,0.571405,-0.63066,-0.53966,-0.07627,-0.91711,0.270008,-0.48028,-0.51253,0.680906,0.089923,-0.15741,-0.58882,-0.47791,0.225389,-0.66868,-0.0236,-0.2223,0.718961,-0.17188,-0.16621,0.776471,0.81846,0.442547,0.142757,0.219238,9.99,0
35,1.386397,-0.79421,0.778224,-0.86471,-1.06413,0.351296,-1.19145,0.052686,-0.3044,0.576517,-1.63111,0.04256,2.047898,-0.73934,1.456222,-0.27205,-0.93201,1.926532,-0.65994,-0.27303,-0.22873,-0.12352,-0.13103,-0.92967,0.181379,1.194928,0.000531,0.019911,30.9,0
35,-1.06324,1.418191,1.086673,1.24144,0.002306,0.045902,0.514121,0.241252,-0.1545,0.280673,-0.53195,0.589858,0.555087,-0.11636,0.165886,-1.23721,0.638414,-0.77607,0.692806,0.235009,-0.05723,0.314153,-0.12986,0.114284,-0.02781,-0.25994,0.118754,-0.00896,20.22,0
35,1.199356,0.129953,0.863585,1.002635,-0.78376,-0.88468,-0.04074,-0.20807,0.392478,-0.24818,-0.09536,1.314131,1.091681,-0.40935,-0.57799,-0.58128,0.212343,-0.89318,-0.02065,-0.07262,-0.04247,0.198474,-0.03301,1.01329,0.559098,0.401818,-0.00586,0.017936,0.99,0
36,-1.00493,-0.98598,-0.03804,3.710061,-6.63195,5.122103,4.371691,-2.00687,-0.27874,-0.23087,0.145155,-0.06316,-0.79959,-0.34196,-0.93053,0.51051,0.092428,0.823984,1.190398,-0.00198,1.393406,-0.38167,0.969719,0.019445,0.570923,0.333278,0.857373,-0.07554,1402.95,0
36,-1.16942,1.158314,1.4068,0.860189,-0.10381,0.122035,0.264451,-0.10877,-0.18198,0.659593,0.456317,-0.09776,-0.34616,0.210182,2.345229,-1.17265,0.860019,-1.15422,0.858768,-0.12056,0.024498,-0.12015,0.212986,0.087536,-0.94653,0.2267,-0.8101,0.234957,7.99,0
36,1.095525,-0.11609,1.397912,1.497547,-1.04912,0.072839,-0.7238,0.287532,0.996327,-0.14914,-0.50829,-0.02784,-1.32156,-0.0624,0.505751,-0.2093,0.207537,-0.47133,-0.7363,-0.27503,-0.03323,0.093262,0.089498,0.361261,0.250963,-0.37828,0.081024,0.034227,2.09,0
37,1.295668,0.341483,0.081505,0.566746,-0.11046,-0.76632,0.073155,-0.1683,0.071837,-0.28104,-0.54953,0.049093,0.30395,-0.31675,1.134897,0.63591,-0.19976,-0.12205,0.004516,-0.06598,-0.32361,-0.92978,0.063809,-0.19357,0.287574,0.127881,-0.02373,0.0252,0.99,0
38,0.158332,0.872687,0.965525,1.802127,0.139022,0.110863,0.559079,-0.02907,-0.39491,0.032674,-0.50092,0.631916,0.754694,-0.04766,0.348218,-1.49353,0.757231,-0.68437,1.303359,0.089838,0.11627,0.691685,0.121113,0.116142,-1.11273,-0.30337,0.327533,0.255621,21.76,0
39,-0.55406,0.215728,0.844265,-0.75307,0.034848,-0.5586,1.090401,-0.20387,0.262394,-1.35471,-0.09488,0.953746,0.836964,0.144752,1.15661,-1.93302,0.741349,-0.51361,1.567345,0.383283,0.212134,0.702338,-0.0057,0.147346,0.245652,-0.44046,0.14713,0.139468,120.96,0
39,-1.33088,0.26754,-0.16847,-0.70123,3.281972,3.21639,-0.05939,0.89543,-0.01778,-0.16575,-0.76505,-0.01564,-0.35663,-0.0412,-0.7351,0.030533,-0.77807,-0.01516,-0.15282,-0.11388,-0.15104,-0.31173,-0.37479,1.014886,0.353992,-0.51033,0.159033,0.228708,13.84,0
40,1.110692,0.081942,0.406063,1.29074,-0.16981,0.120955,-0.08085,0.174373,0.152071,0.065267,1.02455,0.793137,-1.01504,0.422995,-0.70663,-0.48846,0.058531,-0.38363,-0.07407,-0.21985,-0.05602,-0.0116,-0.07048,0.004345,0.603929,-0.32742,0.02989,0.004944,13.84,0
41,1.154312,0.265462,0.384871,0.575007,-0.21748,-0.39152,-0.08149,0.062789,-0.26058,-0.16168,2.052928,1.130826,0.189485,-0.07079,0.619345,0.318583,0.090232,-0.33145,-0.34472,-0.09958,-0.19321,-0.55769,0.169492,0.186863,0.089252,0.093626,-0.00963,0.019668,2.67,0
41,0.986063,-0.20296,-0.49277,0.407691,0.30566,-0.23053,0.585028,-0.20822,-0.2475,-0.19225,-0.62832,0.430308,0.811248,0.371566,1.026079,-0.0285,-0.30755,-1.09965,0.010739,0.263505,-0.30587,-1.21656,-0.0776,-0.74134,0.286881,0.200347,-0.0752,0.027271,169.05,0
41,1.138759,-1.19295,1.407131,-0.33007,-2.0695,-0.24218,-1.30664,0.10451,0.134628,0.493931,-0.89519,-0.1827,0.146081,-0.58661,0.797189,-0.89172,-0.07921,1.541588,-0.98359,-0.29931,-0.1562,-0.03057,-0.01972,0.433753,-0.02952,1.141241,-0.00861,0.041564,96.94,0
41,1.145524,0.575068,0.194008,2.598192,-0.09221,-1.04443,0.531588,-0.24189,-0.89629,0.757952,-0.44894,-0.66086,-1.30852,0.788864,0.320294,0.295404,-0.28788,-0.45145,-1.01145,-0.19105,0.011106,-0.1197,-0.07651,0.69132,0.633984,0.048741,-0.05319,0.016251,34.13,0
42,-0.24936,0.399227,0.068009,-1.06062,2.410399,3.736574,0.316446,0.672296,0.01514,-0.2695,-0.49512,-0.16151,-0.27421,-0.27619,-0.17241,-0.11896,-0.55,-0.14805,0.771762,0.107676,-0.25766,-0.61676,-0.15667,1.031135,0.120617,0.310494,-0.2883,-0.22396,32.51,0
42,-0.52267,1.009923,0.27647,1.475289,-0.70701,0.355243,1.559849,-0.39958,-0.47981,0.516352,0.03433,0.589226,1.42691,0.02051,1.651336,-0.96134,0.24636,-0.40754,0.917399,-0.01302,0.172401,1.011543,0.069666,0.15782,-1.10922,-0.30237,0.31817,0.31691,243.66,0
44,-0.89999,0.136255,1.883665,-0.209,1.051441,1.905241,0.241423,0.647631,-0.05347,-0.50417,1.254599,-0.23663,-2.51759,0.384574,0.343832,-1.37056,0.958568,-1.60724,-0.64726,-0.12173,-0.0815,-0.01693,-0.14771,-1.38462,-0.02435,0.412659,-0.10678,-0.19048,21.55,0
44,-0.71476,0.514969,1.821676,0.616434,0.848776,-0.11194,1.505617,-0.79817,0.244757,0.264554,-1.10811,-0.35986,-0.16347,-0.784,-0.36715,-0.65312,-0.5043,-0.26056,0.435251,0.107322,-0.22008,-0.01784,-0.43194,-0.13046,0.337159,-0.44004,-0.67453,-0.47322,59.9,0
44,-0.9489,0.248414,2.956914,2.81375,0.145539,-0.02735,0.133702,-0.30753,-0.12524,1.03494,-0.53265,-0.18988,0.081222,-0.93905,0.081187,-0.12978,-0.17435,-0.09029,0.222435,-0.05619,-0.08365,0.41609,0.207537,0.716064,-0.60231,-0.06423,-0.31506,-0.27246,0.75,0
44,0.92706,-0.32368,0.387585,0.544474,0.246787,1.650358,-0.42758,0.615371,0.226278,-0.2255,1.944545,1.38516,-0.47926,0.314166,0.214167,-1.33372,1.002869,-2.11931,-1.05304,-0.18539,-0.04051,0.079359,0.096632,-0.99257,0.085096,0.377447,0.036096,-0.00596,45.71,0
46,-1.92321,-0.87048,2.32017,1.988776,0.417091,-0.38001,0.472139,-0.55733,-0.64908,1.410889,-0.51774,-0.9852,-0.40059,-0.83066,0.338009,0.029924,0.37115,-1.05432,1.890364,-0.36923,-0.68649,-0.77927,1.086055,0.518863,-0.36371,3.065576,-0.58902,-0.39611,35,0
46,1.006589,-0.07111,0.347614,1.329684,-0.19324,0.155418,0.008574,0.146538,0.103844,0.03183,1.070981,0.940665,-0.72947,0.380115,-0.72913,-0.4934,0.043556,-0.40529,-0.09258,-0.09137,-0.02024,-0.01888,-0.12097,0.027382,0.593864,-0.33469,0.021368,0.01508,67.97,0
46,-0.37824,0.732925,-0.12015,0.185755,2.594269,3.797183,0.059088,0.976768,-0.41266,0.006754,-0.62467,-0.11585,-0.21504,0.140449,0.160266,-0.60189,-0.14436,0.221557,1.454852,0.315572,-0.10758,-0.15714,-0.19466,1.013897,0.145503,-0.23762,0.411372,0.202788,11.45,0
47,1.197839,0.236828,0.509605,0.657659,-0.36549,-0.7451,0.079497,-0.13054,-0.05226,-0.11006,0.307131,0.670664,0.437974,0.269026,1.127419,-0.19692,0.007704,-1.12264,-0.59092,-0.12098,-0.14988,-0.37421,0.145516,0.414984,0.212156,0.181724,-0.0164,0.015994,3.63,0
48,-0.58063,0.482684,1.333123,-0.25308,-0.02847,-0.51917,0.503249,0.117773,0.117112,-0.42049,0.449719,-0.01786,-1.98382,0.321663,-1.4253,0.125194,-0.40441,0.097777,-0.02053,-0.29875,-0.04214,-0.14871,0.001451,0.302764,-0.68071,-0.01555,-0.00631,0.164222,21.66,0
48,-1.79341,1.854604,0.979514,1.112262,-0.2064,-0.19955,0.616642,0.06418,0.690272,1.551724,-0.16196,0.424213,0.015944,-0.40583,0.27193,-1.42302,0.676324,-0.91105,0.461845,0.667847,-0.18072,0.235138,-0.09144,0.417654,0.122734,-0.23299,0.81188,0.618568,26.72,0
49,1.098608,0.202424,0.525456,1.323436,-0.13049,0.039924,0.028379,0.072841,-0.09787,0.019513,1.474413,1.689674,0.506781,0.125137,-0.89271,-0.62168,0.04434,-0.64209,-0.16199,-0.12804,-0.02497,0.154264,-0.06315,0.253205,0.629405,-0.34534,0.040469,0.010264,13.18,0
49,-0.54963,0.418949,1.729833,0.203065,-0.18701,0.253878,0.500894,0.251256,-0.22798,-0.57617,1.102032,0.823708,-0.56951,0.00871,-1.04141,-0.6034,0.225484,-0.35213,0.194946,0.01697,0.115062,0.418529,-0.06513,0.264981,0.003958,0.395969,0.027182,0.043506,59.99,0
49,0.921544,-0.06708,0.077461,0.953638,0.067412,0.016152,0.320452,0.038534,-0.39151,0.03156,1.391691,1.079363,0.106268,0.665985,0.442254,0.122646,-0.49239,-0.53514,-0.07808,0.120051,-0.33393,-1.29992,0.084311,-0.3704,0.155102,-0.83449,0.000909,0.035547,135.51,0
50,-0.57152,1.0716,1.28011,0.54278,0.574439,-0.25936,1.061148,-0.41097,-0.17913,1.003501,1.062382,0.159422,-0.28986,0.005805,0.460441,-0.22104,-0.77585,0.657023,0.807583,0.354731,0.003559,0.56124,-0.19929,0.001387,-0.17953,-0.37412,0.071641,-0.17551,9.79,0
50,-0.67171,0.594503,0.216416,-0.86731,2.966908,3.632495,0.563295,0.673026,-0.18877,-0.40438,-0.69971,-0.18414,-0.42681,-0.183,-0.74773,-0.03771,-0.86646,-0.00726,-0.16043,-0.00278,-0.13644,-0.30036,-0.33169,0.996382,0.502469,-0.51804,-0.20828,-0.11605,14.8,0
51,1.259873,0.25424,0.514789,0.620924,-0.47593,-0.99229,0.066417,-0.20928,0.035572,-0.06762,-0.20411,0.402597,0.376648,0.227135,1.024996,0.299532,-0.42605,-0.55032,-0.1199,-0.08897,-0.25653,-0.73921,0.135732,0.38199,0.219302,0.094291,-0.02869,0.019198,1.98,0
52,1.147369,0.059035,0.263632,1.211023,-0.0441,0.301067,-0.13296,0.227885,0.252191,0.083904,0.645046,0.413362,-1.46804,0.502861,-0.62694,-0.36972,-0.0318,-0.21534,0.05502,-0.25592,-0.08781,-0.11076,-0.09777,-0.32337,0.633279,-0.30533,0.027394,-0.00058,6.67,0
52,-3.00524,2.600138,1.483691,-2.41847,0.306326,-0.82457,2.065426,-1.82935,4.009259,6.051521,2.5725,0.066851,-0.35357,-2.83714,0.292227,-0.30377,-1.9423,-0.43545,-0.93402,2.456724,-0.85231,-0.18127,-0.16375,0.515821,0.136318,0.460054,-0.25126,-1.10575,1.46,0
53,-1.19897,-1.4741,1.840326,-4.51582,0.327567,-0.17447,0.959726,-1.02646,1.700435,-0.07894,1.662667,0.485619,-0.93302,-1.11879,0.141253,-2.81189,-0.50475,0.891223,-1.51202,-0.76985,-0.45317,0.334614,-0.36454,-0.31019,-0.3026,-1.24392,-1.12346,-0.73435,89.17,0
54,1.202398,0.321711,0.281211,0.643689,-0.14867,-0.58974,0.048413,-0.09336,-0.04293,-0.34325,0.235106,0.569882,0.67633,-0.35125,1.29513,0.16486,0.246414,-0.80446,-0.56174,-0.07075,-0.25111,-0.68016,0.148163,0.047062,0.15705,0.121935,-0.00461,0.029418,7.53,0
